Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,1,K12,Tarde,15:00,21:20,375.5,0.0,5.0,126.7,1
2,1,K11,Mañana,09:00,14:42,337.1,0.0,5.0,126.7,1
2,1,K12,Tarde,16:42,22:19,332.3,0.0,5.0,126.7,1
3,1,K11,Mañana,09:00,14:42,337.1,0.0,5.0,126.7,1
3,1,K12,Tarde,16:42,22:19,332.3,0.0,5.0,126.7,1
4,0,K22,Tarde,17:00,22:28,323.3,0.0,5.0,126.7,1
5,0,K21,Mañana,12:21,17:43,317.2,0.0,5.0,126.7,1
5,0,K22,Tarde,19:43,24:26,277.2,0.0,5.0,126.7,1
6,0,K21,Mañana,12:21,17:43,317.2,0.0,5.0,126.7,1
